事件清单
更新时间: 2025-04-28 11:23:54
事件名称	事件编号	所属模块	事件描述
组织新增事件（支持批量）	XFTORGADD	组织机构	有新部门创建时发生
部门修改事件（支持批量）	XFTORGUPT	组织机构	部门信息发生变更时发生
部门删除事件（支持批量）	XFTORGDEL	组织机构	部门被删除时发生
部门创建事件	XFT30001	组织机构	有新部门创建时发生
部门变更事件	XFT30002	组织机构	部门信息发生变更时发生
部门删除事件	XFT30003	组织机构	部门被删除时发生
新增员工事件	XFTSTFADD	员工管理	新增员工时发生
删除员工事件	XFTSTFDEL	员工管理	删除员工时发生
修改员工事件	XFTSTFUPT	员工管理	员工信息发生变更时发生
待入职发起审批事件	XFTENTAPH	员工管理	发送发起审批消息事件，当在入职管理中待入职员工发起审批时触发
发送确认入职消息事件	XFTENTAPH	员工管理	发送确认入职消息事件，当在入职管理中确认入职时触发
发送放弃入职消息事件	XFTGIVENT	员工管理	发送放弃入职消息事件，职管理中在待入职操作放弃入职发送消息
发送取消离职消息	XFTCNLQUT	员工管理	离职管理中，在已离职列表点击确认离职或者批量取消离职。确认取消发送消息
发送确认离职消息事件	XFTCNLQUT	员工管理	离职管理中，列表确认离职，进入到确认离职页面进行确认离职提交时发送消息
待办事件	XFT00011	消息中心	薪福通产生待办时发生
代发费用通知事件	XFT00101	薪资代发	客户收到事件通知，调用代发概要查询API （EAIMALST），同步最新的概要信息
增量退票通知事件	XFT00102	薪资代发	客户收到事件通知，更新增量退款代发明细
代发结果通知事件	XFT00103	薪资代发	客户收到事件通知，调用代发概要查询API （EAIMALST）以及代发明细查询API服务（EAIDTLST），同步最新的代发概要信息和代发明细信息
付款完成通知事件	XFT00104	薪资代发	客户收到事件通知，调用代发概要查询API （EAIMALST），同步最新的概要信息
缴款完成事件	XFTTAXPAYMENT	个税数据落地服务	完成三方协议缴款或银联缴款
算薪锁定事件	SALLCK	智能算薪	智能算薪模块中的薪资组在当期计薪周期计算完并锁定
算薪代发完成事件	SALPAY	智能算薪	当智能算薪模块中的员工代发状态发生变化
OA审批流程结束事件	XFTOAFPS	OA审批	当流程完结，流程状态为终态时，订阅了该事件的客户可以接收到流程完结通知
企业配置规则更新	ITRIPCRU	智能费控	消费平台与费控采用接口方式对接，企业在费控开通消费平台后，编辑设置规则并保存
第三方申请单推送	ITRIPBILL	智能费控	费控差旅申请单推送第三方消费平台事件
